id,category,input,reference,prediction,cer,wer,bleu,exact_match,time_s
87,colloquial,kaama kaddi katha karanna epa,කෑම කද්දී කතා කරන්න එපා,කාම කඩේදි කතා කරන්න එපා,0.1739,0.4,0.6,False,2.456
88,colloquial,mama heta ude call karannam,මම හෙට උදේ call කරන්නම්,මම හෙට උදේ චල්ලා කරන්නම්,0.2174,0.2,0.8,False,3.326
89,colloquial,moko oya ada lassanata inne,මොකෝ ඔයා අද ලස්සනට ඉන්නේ,මෝකෝ ඔයා අද ලාස්සනට ඉන්නේ,0.0833,0.4,0.6,False,3.316
90,colloquial,mama dan hariyata bayawela inne,මම දැන් හරියට බයවෙලා ඉන්නේ,මම දනේ හරියටා බයවේල ඉන්නේ,0.1923,0.6,0.4,False,2.892
91,colloquial,me parashne nam iwarayak na,මේ ප්‍රශ්නේ නම් ඉවරයක් නෑ,මේ පරශ්ණී නමේ ඉවාරයක ණ,0.36,0.8,0.2,False,2.951
92,colloquial,api moko hithanne heta gana,අපි මොකෝ හිතන්නේ හෙට ගැන,අපි මොකෝ හිතනනේ හේට ගන,0.125,0.6,0.4,False,3.257
93,colloquial,mama dan nikan innawa,මම දැන් නිකන් ඉන්නවා,මම දනේ නිකන ඉනෙනවා,0.2,0.75,0.25,False,2.322
94,colloquial,oya moko ada parakku,ඔයා මොකෝ අද පරක්කු,ඔයා මෝකෝ අදා පරක්ඛු,0.1667,0.75,0.25,False,2.389
95,colloquial,mata ada raama yanawa,මට අද රෑම යනවා,මට අද රඅම යනවා,0.0714,0.25,0.75,False,1.834
96,colloquial,poddak methana indagena inna,පොඩ්ඩක් මෙතන ඉඳගෙන ඉන්න,පොඩ්ඩක් මෙතන ඉඳගෙන ඉන්න,0.0,0.0,1.0,True,2.741
97,colloquial,oya heta yanawada kade,ඔයා හෙට යනවාද කඩේ,ඔයා හෙට යනවාද කඩේ,0.0,0.0,1.0,True,2.065
98,colloquial,mata kisima deyak therenne na,මට කිසිම දෙයක් තේරෙන්නේ නෑ,මට කිසිම දෙයක් තේරෙන්නැ ණ,0.1154,0.4,0.6,False,3.653
99,colloquial,thawa tika welawakin yamu,තව ටික වෙලාවකින් යමු,තව ටික වෙලාවකින් යමු,0.0,0.0,1.0,True,3.311
100,colloquial,oya moko ehema balanne,ඔයා මොකෝ එහෙම බලන්නේ,ඔයා මොකෝ එහේම බලන්නේ,0.05,0.25,0.75,False,2.34
101,colloquial,mata nam epa wela thiyenne,මට නම් එපා වෙලා තියෙන්නේ,මට නම් එපා වේල තියෙන්නේ,0.0833,0.2,0.8,False,3.714
102,colloquial,oya ada moko karanne,ඔයා අද මොකෝ කරන්නේ,ඔයා අද මොකෝ කරන්නේ,0.0,0.0,1.0,True,2.398
103,colloquial,dan yamu nikan inna epa,දැන් යමු නිකන් ඉන්න එපා,දන යමු නිකන් ඉන්න එපා,0.087,0.2,0.8,False,2.496
104,colloquial,thawa tikak welawa ganna,තව ටිකක් වෙලාව ගන්න,තව ටිකක් වෙළව ගන්න,0.1053,0.25,0.75,False,2.06
105,colloquial,mata badagini na dan,මට බඩගිනි නෑ දැන්,මට බදාගිනි ණ දනේ,0.3529,0.75,0.25,False,2.682
106,colloquial,moko mechchara wada thiyenne,මොකෝ මෙච්චර වැඩ තියෙන්නේ,මොකෝ මේච්චර වද තියෙන්නේ,0.125,0.5,0.5,False,2.998
107,colloquial,api heta udema yamu,අපි හෙට උදේම යමු,අපි හෙට උදේම යමු,0.0,0.0,1.0,True,1.665
108,colloquial,mama ada knna giye na,මම අද කන්න ගියේ නෑ,මම අද කොන්න ගියෙ ණ,0.2222,0.6,0.4,False,2.464
109,colloquial,dan mata mara amaruwak thiyenne,දැන් මට මාර අමාරුවක් තියෙන්නේ,දනේ මට මාර අමාරුවක් තියෙන්නේ,0.069,0.2,0.8,False,3.766
110,colloquial,oya kiyana de mata therenawa,ඔයා කියන දේ මට තේරෙනවා,ඔයා කියන දේ මට තේරෙනවා,0.0,0.0,1.0,True,3.275
111,colloquial,api meka karala iwara karamu,අපි මේක කරලා ඉවර කරමු,අපි මේක කරලා ඉවර කරමු,0.0,0.0,1.0,True,2.446
112,colloquial,mama ada nidagatta na thama,මම අද නිදාගත්තා නෑ තාම,මම අද නිදගටට න ථම,0.3636,0.6,0.4,False,3.316
113,colloquial,poddak inna mama katha karannam,පොඩ්ඩක් ඉන්න මම කතා කරන්නම්,පොඩ්ඩක් ඉන්න මම කතා කරන්නම්,0.0,0.0,1.0,True,3.277
114,colloquial,moko mechchara hithanne oya,මොකෝ මෙච්චර හිතන්නේ ඔයා,මොකෝ මේච්චර හිතනනේ ඔයා,0.087,0.5,0.5,False,2.705
115,colloquial,api heta raata hamuwemu,අපි හෙට රෑට හමුවෙමු,අපි හෙට රඅට හමුවෙමු,0.0526,0.25,0.75,False,2.803
116,colloquial,oya mara deyakne karanne,ඔයා මාර දෙයක්නේ කරන්නේ,ඔයා මාර දෙයක්නේ කරන්නේ,0.0,0.0,1.0,True,2.668
117,colloquial,mata tikak dunnoth hondai,මට ටිකක් දුන්නොත් හොඳයි,මට ටිකක් දුන්නොත් හොඳයි,0.0,0.0,1.0,True,3.008
118,colloquial,oya ada kade giyada,ඔයා අද කඩේ ගියාද,ඔයා අද කඩේ ගියාද,0.0,0.0,1.0,True,2.019
119,colloquial,dan mata kisima bayak na,දැන් මට කිසිම බයක් නෑ,දනේ මට කිසිම බයක ණ,0.2381,0.6,0.4,False,2.837
120,colloquial,oya mawa dakka neda ada,ඔයා මාව දැක්කා නේද අද,ඔයා මාව දකක නෑද ආදා,0.2857,0.6,0.4,False,2.088
121,colloquial,poddak inna meka kiyanna,පොඩ්ඩක් ඉන්න මේක කියන්න,පොඩ්ඩක් ඉනන මේක කියන්න,0.0435,0.25,0.75,False,2.696
122,colloquial,mata ada loku prashnayak thiyenawa,මට අද ලොකු ප්‍රශ්නයක් තියෙනවා,මට අද ලොකු ප්‍රශ්නයක තියෙනවා,0.0345,0.2,0.8,False,4.142
123,colloquial,moko me tharah gihin inne,මොකෝ මේ තරහ ගිහින් ඉන්නේ,මොකෝ මේ තරහේ ගිහින් ඉන්නේ,0.0417,0.2,0.8,False,2.853
124,colloquial,oya heta kiyatada enne,ඔයා හෙට කීයටද එන්නේ,ඔයා හේට කියටද එන්නේ,0.1053,0.5,0.5,False,2.32
125,colloquial,mama ada kaama haduwe na,මම අද කෑම හැදුවේ නෑ,මම අද කාම හාදුවේ ණ,0.2105,0.6,0.4,False,2.918
126,colloquial,dan katha karala wadak na,දැන් කතා කරලා වැඩක් නෑ,දනා කත කරළා වඩක ණ,0.3636,1.0,0.0,False,2.078
127,colloquial,oya mawa amataka karanne epa,ඔයා මාව අමතක කරන්නේ එපා,ඔයා මාව අමටක කරන්නේ ඒපා,0.087,0.4,0.6,False,2.862
128,colloquial,dan mara widihata wassa,දැන් මාර විදිහට වැස්සා,දනා මාරා විදිාහට වසෙස,0.3182,1.0,0.0,False,2.734
129,colloquial,api heta gedara yanawada,අපි හෙට ගෙදර යනවාද,අපි හෙට ගෙදර යනවාද,0.0,0.0,1.0,True,2.083
130,colloquial,mama ada dan hitiye na,මම අද දන්න හිටියේ නෑ,මම අද දනේ හිටියී ණ,0.25,0.6,0.4,False,2.946
131,colloquial,poddak inna thawa tikakin ennam,පොඩ්ඩක් ඉන්න තව ටිකකින් එන්නම්,පොඩ්ඩක් ඉන්න තව ටිකකින් එන්නම්,0.0,0.0,1.0,True,3.234
132,code_mixed,e class eka cancel una,ඒ class එක cancel වුණා,ඒ class එක cancel උනා,0.1364,0.2,0.8,False,3.2
133,code_mixed,mama application eka download kala,මම application එක download කළා,මම application එක download කළා,0.0,0.0,1.0,True,5.593
134,code_mixed,lecture eka thiyenne kiyatada,lecture එක තියෙන්නේ කීයටද,lecture ඒකා තියෙන්නේ කියාටද,0.16,0.5,0.5,False,3.02
135,code_mixed,oyage computer eka update karanna,ඔයාගේ computer එක update කරන්න,ඔයාගේ computer එක update කරන්න,0.0,0.0,1.0,True,4.387
136,code_mixed,mata me project eka godak wadagath,මට මේ project එක ගොඩක් වැදගත්,මට මේ project එක ගොඩක් වැදගත්,0.0,0.0,1.0,True,4.673
137,code_mixed,results kawada eyida danne na,results කවදා එයිද දන්නේ නෑ,results කවදා එයිද දන්නේ ණ,0.0769,0.2,0.8,False,4.406
138,code_mixed,oyage id card eka genna,ඔයාගේ id card එක ගේන්න,ඔයාගේ ඉඩේ චර්ඩ් එක ගැන්න,0.4091,0.6,0.4,False,2.484
139,code_mixed,mama internship eka start kala,මම internship එක start කළා,මම internship එක start කලා,0.0385,0.2,0.8,False,5.503
140,code_mixed,canteen eka dan wahala athi,canteen එක දැන් වහලා ඇති,කන්ටීන එක දනේ වහලා ඇති,0.375,0.4,0.6,False,3.315
141,code_mixed,oya presentation eka ready da,ඔයා presentation එක ready ද,ඔයා presentation එක ready ද,0.0,0.0,1.0,True,6.693
142,code_mixed,mama ada office giye na,මම අද office ගියේ නෑ,මම අද office ගියෙ ණ,0.15,0.4,0.6,False,3.255
143,code_mixed,mema data set eka evaluate karanna,මෙම data set එක evaluate කරන්න,මෙම data set එක evaluate කරන්න,0.0,0.0,1.0,True,3.895
144,code_mixed,oya link eka send karanna,ඔයා link එක send කරන්න,ඔය ලිනක් එක සැඳේ කරන්න,0.4545,0.6,0.4,False,2.524
145,code_mixed,mata internet slow wela ada,මට internet slow වෙලා අද,මට internet slow වෙල අදා,0.0833,0.4,0.6,False,4.886
146,code_mixed,exam hall ekata yanna parakku wenawa,exam hall එකට යන්න පරක්කු වෙනවා,exam hall එකට යන්න පරක්කු වෙනවා,0.0,0.0,1.0,True,3.397
147,code_mixed,oyage feedback eka ewanna balanna,ඔයාගේ feedback එක එවන්න බලන්න,ඔයාගේ feedback එක එවන්න බලන්න,0.0,0.0,1.0,True,3.701
148,code_mixed,mama mage mobile phone eka nathi kala,මම මගේ mobile phone එක නැති කළා,මම මගේ mobile phone එක නැති කළා,0.0,0.0,1.0,True,3.956
149,code_mixed,lecture notes kiyawala balanna one,lecture notes කියවලා බලන්න ඕනේ,lecture notes කියවලා බලන්න ඕනැ,0.0333,0.2,0.8,False,3.67
150,code_mixed,oyage user account eka block wela,ඔයාගේ user account එක block වෙලා,ඔයාගේ user account එක block වේල,0.0625,0.1667,0.8333,False,4.747
151,code_mixed,mama application eka submit kala ada,මම application එක submit කළා අද,මම application එක submit කළා අදා,0.0323,0.1667,0.8333,False,6.855
152,code_mixed,oya project report eka finalize kalaada,ඔයා project report එක finalize කළාද,ඔයා project report එක ෆිනලිස් කලාද,0.2571,0.3333,0.6667,False,4.814
153,code_mixed,oya system eka install karala thiyenne,ඔයා system එක install කරලා තියෙන්නේ,ඔය system එක install කරලා තියෙන්නේ,0.0286,0.1667,0.8333,False,4.803
154,code_mixed,mata me course eka amaru wage,මට මේ course එක අමාරු වගේ,මට මේ course එක ආමාරු වගේ,0.04,0.1667,0.8333,False,3.371
155,code_mixed,oyage account balance eka check karanna,ඔයාගේ account balance එක check කරන්න,ඔයාගේ account balance එක check කරන්න,0.0,0.0,1.0,True,4.736
156,code_mixed,api meka group chat eke katha karamu,අපි මේක group chat එකේ කතා කරමු,අපි මේක group chat එකේ කතා කරමු,0.0,0.0,1.0,True,5.13
157,code_mixed,oya registration form eka fill karanna,ඔයා registration form එක fill කරන්න,ඕය registration form එක fill කරන්න,0.0571,0.1667,0.8333,False,8.086
158,code_mixed,mama profile picture eka change kala,මම profile picture එක change කළා,මම profile picture එක change කළා,0.0,0.0,1.0,True,4.227
159,code_mixed,lecture eka record karanna puluwanda,lecture එක record කරන්න පුළුවන්ද,lecture එක record කරන්න පුළුවන්ද,0.0,0.0,1.0,True,3.745
160,code_mixed,mama mage password eka amataka kala,මම මගේ password එක අමතක කළා,මම මගේ password එක අමටක කළා,0.037,0.1667,0.8333,False,5.283
161,code_mixed,oya video eka watch kalaada,ඔයා video එක watch කළාද,ඔයා video එක watch කළාද,0.0,0.0,1.0,True,2.423
162,code_mixed,api next week eke yamu,අපි next week එකේ යමු,අපි next week ඒකේ යමු,0.0476,0.2,0.8,False,2.958
163,code_mixed,oyage message eka labuna mata,ඔයාගේ message එක ලැබුණා මට,ඔයාගේ message එක ලැබුණ මට,0.0385,0.2,0.8,False,4.232
164,code_mixed,mama application form eka sign kala,මම application form එක sign කළා,මම application form එක sign කළා,0.0,0.0,1.0,True,7.604
165,code_mixed,oya photo eka edit karala ewanna,ඔයා photo එක edit කරලා එවන්න,ඔයා photo එක edit කරලා එවාන්න,0.0357,0.1667,0.8333,False,3.871
166,code_mixed,mata laptop eka repair karanna one,මට laptop එක repair කරන්න ඕනේ,මට laptop එක repair කරන්න ඕනේ,0.0,0.0,1.0,True,4.201
167,code_mixed,oyage results online balanna puluwan,ඔයාගේ results online බලන්න පුළුවන්,ඔයාගෙ results online බලන්න පුළුවන්,0.0294,0.2,0.8,False,5.038
168,code_mixed,api meka online meet wela karamu,අපි මේක online meet වෙලා කරමු,අපි මේක online මීට් වෙල කරමු,0.1724,0.3333,0.6667,False,4.609
169,code_mixed,oya driver eka update karala thiyenne,ඔයා driver එක update කරලා තියෙන්නේ,ඔයා driver එක update කරලා තියෙන්නේ,0.0,0.0,1.0,True,4.891
170,code_mixed,mama browser eka refresh kala dan,මම browser එක refresh කළා දැන්,මම browser එක refresh කලා දනේ,0.1,0.3333,0.6667,False,5.951
171,code_mixed,oyage payment eka successful wela thiyenne,ඔයාගේ payment එක successful වෙලා තියෙන්නේ,ඔයාගෙ payment එක successful වේල තියෙන්නෙ,0.0976,0.5,0.5,False,7.397
172,code_mixed,mama file eka download karala iwarai,මම file එක download කරලා ඉවරයි,මම file එක download කරලා ඉවරයි,0.0,0.0,1.0,True,4.859
173,code_mixed,oyage profile eka update karanna balanna,ඔයාගේ profile එක update කරන්න බලන්න,ඔයාගේ profile එක update කරන්න බලන්න,0.0,0.0,1.0,True,4.828
174,code_mixed,mama application status eka check kala,මම application status එක check කළා,මම application status එක check කළා,0.0,0.0,1.0,True,7.424
